iter	Passed	Remaining
299	12381	28889
300	12423	28850
301	12466	28813
302	12507	28771
303	12548	28730
304	12587	28683
305	12628	28640
306	12675	28611
307	12715	28567
308	12755	28524
309	12797	28483
310	12835	28436
311	12877	28395
312	12902	28319
313	12943	28278
314	12988	28244
315	13026	28196
316	13066	28153
317	13108	28112
318	13148	28069
319	13191	28031
320	13233	27993
321	13275	27951
322	13316	27910
323	13358	27871
324	13395	27820
325	13436	27779
326	13479	27741
327	13518	27696
328	13561	27658
329	13600	27612
330	13639	27567
331	13683	27532
332	13719	27479
333	13761	27439
334	13802	27398
335	13845	27361
336	13889	27325
337	13933	27289
338	13973	27246
339	14014	27204
340	14054	27161
341	14096	27121
342	14135	27075
343	14175	27033
344	14217	26993
345	14260	26955
346	14300	26911
347	14340	26867
348	14383	26830
349	14424	26788
350	14465	26745
351	14505	26703
352	14543	26656
353	14584	26614
354	14623	26569
355	14664	26528
356	14708	26491
357	14744	26441
358	14786	26401
359	14826	26358
360	14867	26316
361	14908	26274
362	14947	26230
363	14990	26191
364	15028	26145
365	15070	26105
366	15106	26055
367	15145	26010
368	15187	25971
369	15225	25925
370	15265	25882
371	15307	25841
372	15345	25796
373	15384	25750
374	15424	25706
375	15466	25667
376	15506	25625
377	15547	25583
378	15578	25524
379	15618	25482
380	15658	25440
381	15701	25402
382	15743	25361
383	15784	25321
384	15827	25282
385	15868	25241
386	15908	25199
387	15949	25158
388	15986	25110
389	16027	25068
390	16069	25028
391	16108	24985
392	16150	24944
393	16189	24901
394	16230	24859
395	16267	24812
396	16309	24772
397	16351	24732
398	16391	24689
399	16432	24648
400	16478	24615
401	16519	24573
402	16558	24528
403	16604	24495
404	16657	24472
405	16699	24432
406	16745	24398
407	16791	24364
408	16830	24319
409	16870	24276
410	16915	24241
411	16959	24203
412	16999	24161
413	17038	24117
414	17087	24086
415	17138	24059
416	17179	24018
417	17219	23975
418	17260	23934
419	17306	23899
420	17350	23861
421	17392	23821
422	17432	23778
423	17473	23737
424	17510	23690
425	17549	23646
426	17589	23603
427	17631	23563
428	17673	23523
429	17714	23481
430	17753	23438
431	17797	23399
432	17838	23359
433	17880	23318
434	17920	23275
435	17959	23231
436	18001	23191
437	18040	23148
438	18082	23108
439	18130	23075
440	18172	23034
441	18212	22991
442	18254	22951
443	18295	22910
444	18332	22864
445	18368	22816
446	18409	22775
447	18449	22732
448	18489	22689
449	18531	22649
450	18569	22605
451	18610	22563
452	18652	22522
453	18692	22479
454	18731	22437
455	18776	22400
456	18815	22356
457	18858	22316
458	18899	22275
459	18940	22234
460	18979	22190
461	19020	22148
462	19059	22105
463	19099	22063
464	19141	22022
465	19181	21979
466	19220	21936
467	19260	21894
468	19301	21853
469	19344	21813
470	19384	21771
471	19427	21731
472	19470	21693
473	19508	21648
474	19547	21604
475	19589	21564
476	19631	21525
477	19671	21482
478	19710	21438
479	19749	21394
480	19790	21353
481	19833	21314
482	19874	21274
483	19916	21233
484	19959	21193
485	20001	21153
486	20044	21114
487	20085	21072
488	20126	21032
489	20168	20991
490	20208	20949
491	20251	20909
492	20303	20879
493	20348	20842
494	20388	20800
495	20432	20762
496	20475	20722
497	20514	20679
498	20556	20638
499	20597	20597
500	20641	20559
501	20683	20518
502	20724	20477
503	20769	20439
504	20811	20398
505	20853	20359
506	20900	20323
507	20945	20285
508	20990	20247
509	21035	20210
510	21073	20166
511	21112	20122
512	21153	20081
513	21195	20040
514	21235	19998
515	21276	19957
516	21318	19916
517	21358	19874
518	21399	19832
519	21440	19790
520	21482	19750
521	21524	19710
522	21562	19665
523	21603	19624
524	21642	19580
525	21682	19538
526	21719	19493
527	21760	19452
528	21799	19409
529	21837	19365
530	21877	19323
531	21919	19282
532	21961	19241
533	22000	19199
534	22040	19156
535	22082	19116
536	22124	19075
537	22165	19034
538	22207	18994
539	22248	18952
540	22288	18910
541	22332	18871
542	22373	18830
543	22413	18787
544	22451	18744
545	22494	18703
546	22531	18659
547	22573	18619
548	22617	18580
549	22658	18538
550	22698	18496
551	22739	18455
552	22779	18412
553	22827	18377
554	22870	18338
555	22909	18294
556	22949	18252
557	22990	18210
558	23029	18168
559	23071	18127
560	23113	18086
561	23152	18044
562	23189	17999
563	23231	17958
564	23270	17916
565	23309	17872
566	23348	17830
567	23389	17789
568	23426	17744
569	23463	17700
570	23505	17659
571	23547	17619
572	23589	17578
573	23626	17534
574	23665	17492
575	23704	17449
576	23744	17407
577	23780	17362
578	23823	17322
579	23863	17280
580	23902	17237
581	23943	17196
582	23982	17153
583	24021	17111
584	24062	17070
585	24106	17030
586	24147	16989
587	24188	16948
588	24226	16905
589	24271	16866
590	24313	16826
591	24358	16787
592	24399	16746
593	24444	16707
594	24482	16664
595	24522	16622
596	24564	16581
597	24607	16541
598	24646	16499
599	24686	16457
600	24727	16416
601	24769	16375
602	24812	16335
603	24852	16293
604	24891	16251
605	24931	16209
606	24976	16170
607	25014	16127
608	25056	16087
609	25093	16043
610	25134	16002
611	25176	15961
612	25217	15920
613	25254	15876
614	25297	15836
615	25363	15810
616	25441	15792
617	25480	15750
618	25521	15708
619	25563	15668
620	25602	15625
621	25643	15583
622	25683	15542
623	25720	15497
624	25757	15454
625	25798	15413
626	25837	15370
627	25878	15329
628	25919	15287
629	25961	15246
630	25999	15204
631	26040	15162
632	26080	15121
633	26120	15078
634	26162	15038
635	26200	14995
636	26242	14954
637	26283	14913
638	26322	14870
639	26360	14827
640	26404	14787
641	26447	14747
642	26489	14707
643	26530	14665
644	26570	14624
645	26616	14585
646	26655	14543
647	26695	14501
648	26732	14457
649	26773	14416
650	26811	14373
651	26854	14333
652	26899	14294
653	26938	14251
654	26974	14208
655	27013	14165
656	27056	14125
657	27098	14084
658	27137	14042
659	27177	14000
660	27220	13960
661	27262	13919
662	27307	13880
663	27367	13848
664	27407	13806
665	27450	13766
666	27488	13723
667	27528	13681
668	27569	13640
669	27608	13598
670	27648	13556
671	27687	13514
672	27729	13473
673	27770	13432
674	27809	13389
675	27848	13347
676	27890	13306
677	27935	13267
678	27979	13227
679	28025	13188
680	28071	13149
681	28117	13110
682	28158	13069
683	28202	13029
684	28240	12986
685	28277	12943
686	28318	12902
687	28360	12861
688	28402	12820
689	28442	12778
690	28484	12737
691	28520	12694
692	28557	12651
693	28600	12610
694	28641	12569
695	28682	12527
696	28723	12486
697	28763	12445
698	28806	12404
699	28854	12366
700	28894	12324
701	28936	12283
702	28978	12242
703	29016	12200
704	29059	12159
705	29101	12118
706	29146	12079
707	29189	12038
708	29233	11998
709	29279	11959
710	29319	11917
711	29360	11876
712	29402	11835
713	29441	11793
714	29482	11751
715	29523	11710
716	29565	11669
717	29603	11627
718	29644	11585
719	29686	11544
720	29731	11504
721	29770	11463
722	29812	11421
723	29857	11381
724	29909	11344
725	29955	11305
726	29998	11264
727	30043	11225
728	30083	11183
729	30124	11142
730	30163	11099
731	30204	11058
732	30248	11018
733	30292	10977
734	30332	10936
735	30369	10893
736	30412	10852
737	30454	10811
738	30496	10770
739	30538	10729
740	30581	10689
741	30622	10647
742	30663	10606
743	30701	10563
744	30743	10522
745	30784	10481
746	30827	10440
747	30873	10401
748	30914	10359
749	30954	10318
750	30992	10275
751	31038	10236
752	31081	10195
753	31129	10156
754	31171	10115
755	31213	10074
756	31251	10031
757	31289	9989
758	31332	9948
759	31369	9906
760	31412	9865
761	31452	9823
762	31493	9782
763	31534	9741
764	31574	9699
765	31618	9659
766	31660	9617
767	31703	9577
768	31742	9535
769	31785	9494
770	31828	9453
771	31870	9412
772	31909	9370
773	31949	9328
774	31991	9287
775	32029	9245
776	32068	9203
777	32108	9161
778	32150	9121
779	32190	9079
780	32229	9037
781	32271	8996
782	32312	8954
783	32353	8913
784	32394	8872
785	32435	8830
786	32472	8788
787	32521	8749
788	32564	8708
789	32609	8668
790	32653	8627
791	32701	8588
792	32743	8547
793	32785	8506
794	32827	8465
795	32871	8424
796	32911	8382
797	32948	8340
798	32990	8299
799	33030	8257
800	33070	8216
801	33107	8173
802	33149	8132
803	33191	8091
804	33231	8049
805	33276	8009
806	33322	7969
807	33365	7928
808	33406	7887
809	33453	7847
810	33492	7805
811	33533	7763
812	33574	7722
813	33615	7681
814	33653	7639
815	33693	7597
816	33736	7556
817	33775	7514
818	33818	7473
819	33858	7432
820	33897	7390
821	33939	7349
822	33983	7308
823	34023	7267
824	34061	7225
825	34103	7183
826	34142	7142
827	34182	7100
828	34223	7059
829	34262	7017
830	34305	6976
831	34346	6935
832	34389	6894
833	34431	6853
834	34479	6813
835	34519	6771
836	34560	6730
837	34597	6688
838	34635	6646
839	34675	6604
840	34713	6563
841	34754	6521
842	34794	6480
843	34836	6439
844	34881	6398
845	34923	6357
846	34964	6315
847	35001	6273
848	35042	6232
849	35083	6191
850	35127	6150
851	35172	6109
852	35213	6068
853	35253	6026
854	35295	5985
855	35333	5943
856	35374	5902
857	35415	5861
858	35458	5820
859	35501	5779
860	35541	5737
861	35581	5696
862	35624	5655
863	35667	5614
864	35706	5572
865	35747	5531
866	35788	5490
867	35825	5448
868	35861	5406
869	35906	5365
870	35944	5323
871	35983	5281
872	36020	5240
873	36060	5198
874	36098	5156
875	36137	5115
876	36178	5074
877	36218	5032
878	36260	4991
879	36300	4950
880	36341	4908
881	36379	4867
882	36422	4826
883	36463	4784
884	36506	4743
885	36552	4703
886	36592	4661
887	36634	4620
888	36673	4579
889	36720	4538
890	36771	4498
891	36820	4458
892	36875	4418
893	36923	4377
894	36981	4338
895	37034	4298
896	37082	4258
897	37133	4217
898	37177	4176
899	37221	4135
900	37262	4094
901	37306	4053
902	37350	4012
903	37395	3971
904	37440	3930
905	37490	3889
906	37542	3849
907	37590	3808
908	37639	3768
909	37680	3726
910	37718	3684
911	37761	3643
912	37804	3602
913	37844	3560
914	37888	3519
915	37946	3479
916	37998	3439
917	38049	3398
918	38103	3358
919	38150	3317
920	38199	3276
921	38242	3235
922	38282	3193
923	38328	3152
924	38376	3111
925	38421	3070
926	38465	3029
927	38515	2988
928	38563	2947
929	38614	2906
930	38661	2865
931	38706	2824
932	38755	2783
933	38801	2741
934	38846	2700
935	38900	2659
936	38940	2618
937	38983	2576
938	39026	2535
939	39066	2493
940	39105	2451
941	39144	2410
942	39182	2368
943	39223	2326
944	39266	2285
945	39306	2243
946	39348	2202
947	39388	2160
948	39427	2118
949	39472	2077
950	39517	2036
951	39560	1994
952	39604	1953
953	39646	1911
954	39690	1870
955	39733	1828
956	39774	1787
957	39816	1745
958	39856	1703
959	39896	1662
960	39938	1620
961	39979	1579
962	40017	1537
963	40060	1496
964	40102	1454
965	40142	1412
966	40182	1371
967	40224	1329
968	40267	1288
969	40313	1246
970	40357	1205
971	40404	1163
972	40446	1122
973	40489	1080
974	40533	1039
975	40577	997
976	40618	956
977	40666	914
978	40708	873
979	40752	831
980	40801	790
981	40847	748
982	40888	707
983	40927	665
984	40968	623
985	41005	582
986	41046	540
987	41084	499
988	41126	457
989	41169	415
990	41213	374
991	41255	332
992	41297	291
993	41337	249
994	41377	207
995	41419	166
996	41460	124
997	41504	83
998	41547	41
999	41587	0
