iter	RMSE
893	481.5644694
894	481.5087207
895	481.4697081
896	481.4643296
897	481.4268237
898	481.3644899
899	481.3173216
900	481.2275056
901	481.1977381
902	481.1732671
903	481.1697028
904	481.0981357
905	481.0444561
906	480.9966549
907	480.8821927
908	480.8462694
909	480.7973051
910	480.7530803
911	480.6900496
912	480.6430135
913	480.5672269
914	480.5523776
915	480.5100931
916	480.4664293
917	480.4374132
918	480.4129241
919	480.3629267
920	480.2858822
921	480.1929227
922	480.0252421
923	479.9997355
924	479.9290937
925	479.8945138
926	479.852925
927	479.7141748
928	479.6392025
929	479.5365846
930	479.4119145
931	479.3484243
932	479.2093822
933	479.1723583
934	479.165357
935	479.0301594
936	478.9127498
937	478.8890246
938	478.8094772
939	478.7575392
940	478.7019484
941	478.6725286
942	478.6468736
943	478.5582742
944	478.4983457
945	478.4042799
946	478.403281
947	478.2632329
948	478.2296986
949	478.1869017
950	478.1717936
951	478.1489136
952	478.0910657
953	478.0372926
954	477.8867466
955	477.8461474
956	477.7586881
957	477.5909508
958	477.5728822
959	477.5710728
960	477.4140966
961	477.3803081
962	477.3778782
963	477.3451024
964	477.2976167
965	477.1330315
966	477.0570411
967	477.0113804
968	476.9757323
969	476.8407053
970	476.7960037
971	476.7326575
972	476.6960728
973	476.6623334
974	476.6348386
975	476.5589456
976	476.4512222
977	476.4160161
978	476.3775015
979	476.3268678
980	476.2740438
981	476.2187112
982	476.1720634
983	476.1489309
984	476.0630573
985	476.0278265
986	475.9398192
987	475.9284221
988	475.8575075
989	475.7644517
990	475.6875388
991	475.6342769
992	475.5530334
993	475.5324697
994	475.493996
995	475.4663657
996	475.3913641
997	475.274207
998	475.2157552
999	475.1990035
